feature name * do not exsit in table allchanges
filling nan with -9999
finished loading allchanges
osUpdate detectedLanguages 1773
osUpdate agent 124873
osUpdate GPU 377
osUpdate osUpdate 124873
osUpdate colorDepth 1543
osUpdate audio 6000
colorDepth environmentUpdate 18224
colorDepth canvas 4510
colorDepth localStorage 212
colorDepth lied 2642
colorDepth userAction 8077
colorDepth jsFonts 61
colorDepth plugin 26
colorDepth zoom 303
colorDepth browserUpdate 17714
colorDepth timezone 7842
colorDepth header 989
colorDepth cookie 234
colorDepth detectedLanguages 28
colorDepth agent 17758
colorDepth GPU 12
colorDepth osUpdate 1543
colorDepth colorDepth 18224
colorDepth audio 209
audio environmentUpdate 42963
audio canvas 3396
audio localStorage 188
audio lied 831
audio userAction 6638
audio jsFonts 2702
audio plugin 1219
audio zoom 1466
audio browserUpdate 4291
audio timezone 4279
audio header 840
audio cookie 96
audio detectedLanguages 702
audio agent 10452
audio GPU 383
audio osUpdate 6000
audio colorDepth 209
audio audio 42963
