38fc3e301358eb0e5ecd84f8f549a97b047a65f968f3165567f91264583e9574 6c3fa1d1f9aefafb3b808e14e6e75b22dc1e37b35519a4f007faca1e66c47b73 4a6c48b8eef053bb23d3477ecf8b3746f0e82e7ec6a58888d3e4c9149a993bfb beaa450d5d3c5f84653a2a48554c32b508c655e78ff1eee69d2714ba569d00f7 others
2018-3-8 0.000 0.019 0.000 0.000 99.981 
2018-3-9 0.000 0.021 0.000 0.000 99.979 
2018-3-10 0.000 0.000 0.000 0.000 100.000 
2018-3-11 0.000 0.000 0.000 0.000 100.000 
2018-3-12 0.000 0.000 0.000 0.000 100.000 
2018-3-13 0.000 0.019 0.000 0.000 99.981 
2018-3-14 0.000 0.021 0.000 0.000 99.979 
2018-3-15 0.000 0.018 0.000 0.000 99.982 
2018-3-16 0.000 0.016 0.000 0.000 99.984 
2018-3-17 0.000 0.000 0.000 0.000 100.000 
2018-3-18 0.000 0.000 0.000 0.000 100.000 
2018-3-19 0.000 0.000 0.000 0.000 100.000 
2018-3-20 0.000 0.000 0.000 0.000 100.000 
2018-3-21 0.000 0.000 0.000 0.000 100.000 
2018-3-22 0.000 0.000 0.000 0.000 100.000 
2018-3-23 0.000 0.000 0.000 0.000 100.000 
2018-3-24 0.000 0.000 0.000 0.000 100.000 
2018-3-25 0.000 0.000 0.000 0.000 100.000 
2018-3-26 0.000 0.000 0.000 0.000 100.000 
2018-3-27 0.000 0.000 0.000 0.000 100.000 
2018-3-28 0.000 0.000 0.000 0.000 100.000 
2018-3-29 0.000 0.000 0.000 0.000 100.000 
2018-3-30 0.000 0.000 0.000 0.000 100.000 
2018-3-31 0.000 0.000 0.000 0.000 100.000 
2018-4-1 0.000 0.000 0.000 0.000 100.000 
2018-4-2 0.000 0.000 0.000 0.000 100.000 
2018-4-3 0.000 0.000 0.000 0.000 100.000 
2018-4-4 0.000 0.000 0.000 0.000 100.000 
2018-4-5 0.000 0.000 0.000 0.000 100.000 
2018-4-6 0.000 0.000 0.000 0.000 100.000 
2018-4-7 0.000 0.000 0.000 0.000 100.000 
2018-4-8 0.000 0.000 0.000 0.000 100.000 
2018-4-9 0.000 0.000 0.000 0.000 100.000 
2018-4-10 0.000 0.000 0.000 0.000 100.000 
2018-4-11 0.000 0.000 0.000 0.000 100.000 
2018-4-12 0.000 0.000 0.000 0.000 100.000 
2018-4-13 0.000 0.000 0.000 0.000 100.000 
2018-4-14 0.000 0.000 0.000 0.000 100.000 
2018-4-15 0.000 0.000 0.000 0.000 100.000 
2018-4-16 0.000 0.000 0.000 0.000 100.000 
2018-4-17 0.000 0.000 0.000 0.000 100.000 
2018-4-18 0.000 0.000 0.000 0.000 100.000 
2018-4-19 0.000 0.000 0.000 0.000 100.000 
2018-4-20 0.000 0.000 0.000 0.000 100.000 
2018-4-21 0.000 0.000 0.000 0.000 100.000 
2018-4-22 0.000 0.000 0.000 0.000 100.000 
2018-4-23 0.000 0.000 0.000 0.000 100.000 
2018-4-24 0.000 0.000 0.000 0.000 100.000 
2018-4-25 0.000 0.000 0.000 0.000 100.000 
2018-4-26 0.000 0.000 0.000 0.000 100.000 
2018-4-27 0.000 0.000 0.000 0.000 100.000 
2018-4-28 0.000 0.000 0.000 0.000 100.000 
2018-4-29 0.000 0.000 0.000 0.000 100.000 
2018-4-30 0.000 0.000 0.000 0.000 100.000 
2018-5-1 0.000 0.000 0.000 0.000 100.000 
2018-5-2 0.000 0.000 0.000 0.000 100.000 
2018-5-3 0.000 0.000 0.000 0.000 100.000 
2018-5-4 0.000 0.000 0.000 0.000 100.000 
2018-5-5 0.000 0.000 0.000 0.000 100.000 
2018-5-6 0.000 0.000 0.000 0.000 100.000 
2018-5-7 0.000 0.000 0.000 0.000 100.000 
2018-5-8 0.000 0.000 0.000 0.000 100.000 
2018-5-9 0.000 0.000 0.000 0.000 100.000 
2018-5-10 0.000 0.000 0.000 0.000 100.000 
2018-5-11 0.000 0.000 0.000 0.000 100.000 
2018-5-12 0.000 0.000 0.000 0.000 100.000 
2018-5-13 0.000 0.000 0.000 0.000 100.000 
2018-5-14 0.000 0.000 0.000 0.000 100.000 
2018-5-15 0.000 0.000 0.000 0.000 100.000 
2018-5-16 0.000 0.000 0.000 0.000 100.000 
2018-5-17 0.000 0.000 0.000 0.000 100.000 
2018-5-18 0.000 0.000 0.000 0.000 100.000 
2018-5-19 0.000 0.000 0.000 0.000 100.000 
2018-5-20 0.000 0.000 0.000 0.000 100.000 
2018-5-21 0.000 0.000 0.000 0.000 100.000 
2018-5-22 0.000 0.000 0.000 0.000 100.000 
2018-5-23 0.000 0.000 0.000 0.000 100.000 
2018-5-24 0.000 0.000 0.000 0.000 100.000 
2018-5-25 0.000 0.000 0.000 0.000 100.000 
2018-5-26 0.000 0.000 0.000 0.000 100.000 
2018-5-27 0.000 0.000 0.000 0.000 100.000 
2018-5-28 0.000 0.000 0.000 0.000 100.000 
2018-5-29 0.000 0.000 0.000 0.000 100.000 
2018-5-30 0.000 0.000 0.000 0.000 100.000 
2018-5-31 0.000 0.000 0.000 0.000 100.000 
2018-6-1 0.000 0.000 0.000 0.000 100.000 
2018-6-2 0.000 0.000 0.000 0.000 100.000 
2018-6-3 0.000 0.000 0.000 0.000 100.000 
2018-6-4 0.000 0.000 0.000 0.000 100.000 
2018-6-5 0.000 0.000 0.000 0.000 100.000 
2018-6-6 0.000 0.000 0.000 0.000 100.000 
2018-6-7 0.000 0.000 0.000 0.000 100.000 
2018-6-8 0.000 0.000 0.000 0.000 100.000 
2018-6-9 0.000 0.000 0.000 0.000 100.000 
2018-6-10 0.000 0.000 0.000 0.000 100.000 
2018-6-11 0.000 0.000 0.000 0.000 100.000 
2018-6-12 0.000 0.000 0.000 0.000 100.000 
2018-6-13 0.000 0.000 0.000 0.000 100.000 
2018-6-14 0.000 0.000 0.000 0.000 100.000 
2018-6-15 0.000 0.000 0.000 0.000 100.000 
2018-6-16 0.000 0.000 0.000 0.000 100.000 
2018-6-17 0.000 0.000 0.000 0.000 100.000 
2018-6-18 0.000 0.000 0.000 0.000 100.000 
2018-6-19 0.000 0.000 0.000 0.000 100.000 
2018-6-20 0.000 0.000 0.000 0.000 100.000 
2018-6-21 0.000 0.000 0.000 0.000 100.000 
2018-6-22 0.000 0.000 0.000 0.000 100.000 
2018-6-23 0.000 0.000 0.000 0.000 100.000 
2018-6-24 0.000 0.000 0.000 0.000 100.000 
2018-6-25 0.000 0.000 0.000 0.000 100.000 
2018-6-26 0.000 0.000 0.000 0.000 100.000 
2018-6-27 0.000 0.000 0.000 0.000 100.000 
2018-6-28 0.000 0.000 0.000 0.000 100.000 
2018-6-29 0.000 0.000 0.000 0.000 100.000 
2018-6-30 0.000 0.000 0.000 0.000 100.000 
2018-7-1 0.000 0.000 0.000 0.000 100.000 
2018-7-2 0.000 0.000 0.000 0.000 100.000 
2018-7-3 0.000 0.000 0.000 0.000 100.000 
2018-7-4 0.000 0.000 0.000 0.000 100.000 
2018-7-5 0.000 0.000 0.000 0.000 100.000 
2018-7-6 0.000 0.000 0.000 0.000 100.000 
2018-7-7 0.000 0.000 0.000 0.000 100.000 
2018-7-8 0.000 0.000 0.000 0.000 100.000 
2018-7-9 0.000 0.000 0.000 0.000 100.000 
2018-7-10 0.000 0.000 0.000 0.000 100.000 
2018-7-11 0.000 0.000 0.000 0.000 100.000 
2018-7-12 0.000 0.000 0.000 0.000 100.000 
2018-7-13 0.000 0.000 0.000 0.000 100.000 
2018-7-14 0.000 0.000 0.000 0.000 100.000 
2018-7-15 0.000 0.000 0.000 0.000 100.000 
2018-7-16 0.000 0.000 0.000 0.000 100.000 
2018-7-17 0.000 0.000 0.000 0.000 100.000 
2018-7-18 0.000 0.000 0.000 0.000 100.000 
2018-7-19 0.000 0.000 0.000 0.000 100.000 
2018-7-20 0.000 0.000 0.000 0.000 100.000 
2018-7-21 0.000 0.000 0.000 0.000 100.000 
2018-7-22 0.000 0.000 0.000 0.000 100.000 
2018-7-23 0.000 0.000 0.000 0.000 100.000 
2018-7-24 0.000 0.000 0.000 0.000 100.000 
2018-7-25 0.000 0.000 0.000 0.000 100.000 
2018-7-26 0.000 0.000 0.000 0.000 100.000 
2018-7-27 0.000 0.000 0.000 0.000 100.000 
2018-7-28 0.000 0.000 0.000 0.000 100.000 
2018-7-29 0.000 0.000 0.000 0.000 100.000 
2018-7-30 0.000 0.000 0.000 0.000 100.000 
2018-7-31 0.000 0.000 0.000 0.000 100.000 
