browsers final changes
Safari,,602,0.000425713069391
""
versions final changes
,10_11_6,0.000425713069391
,10_12_6,0.010217113665384
,10_12_3,0.000425713069391
,10_13_1,0.013197105151132
,10_13_2,0.022137079608306
,10_13_3,0.014899957428701
""
browsers every changes
Safari,604,602,0.000425713069391
""
versions every changes
10_11_6,10_12_6,0.0046828437633
10_11_6,10_13_1,0.00170285227756
10_11_6,10_13_2,0.000425713069391
10_12_5,10_12_6,0.000425713069391
10_12_6,10_12_3,0.000425713069391
10_12_6,10_13_1,0.009365687526612
10_12_6,10_13_2,0.003831417624524
10_12_6,10_13_3,0.010642826734791
10_13,10_12_6,0.00383141762452
10_13,10_13_1,0.00212856534696
10_13,10_13_2,0.000425713069391
10_13_1,10_12_6,0.000851426138782
10_13_1,10_11_6,0.000425713069391
10_13_1,10_13_2,0.017454235845
10_13_1,10_13_3,0.00127713920817
10_13_2,10_13_3,0.00297999148574
10_10_5,10_12_6,0.000425713069391
