browsers final changes
Chrome,,62,0.12201907790138199
Chrome,,63,0.015103338632747002
""
versions final changes
,10_13_1,0.000397456279809
,10_13_2,0.00119236883943
""
browsers every changes
Chrome,61,62,0.12201907790138199
Chrome,61,63,0.011128775834657
Chrome,62,63,0.00397456279809
""
versions every changes
10_13_0,10_13_1,0.000397456279809
10_10_5,10_13_2,0.00119236883943
