browsers final changes
Safari,,604,0.000793021411578
""
versions final changes
,10_11_6,0.0035685963521079997
,10_12_5,0.000396510705789
,10_12_6,0.005947660586835
,10_13,0.00396510705789
,10_13_1,0.020222045995257
,10_13_2,0.012291831879466001
,10_13_3,0.003965107057887
""
browsers every changes
Safari,602,604,0.000793021411578
""
versions every changes
10_11_6,10_12_5,0.000396510705789
10_11_6,10_13_1,0.000396510705789
10_11_6,10_13_2,0.000793021411578
10_12_5,10_12_6,0.000396510705789
10_12_6,10_11_6,0.0015860428231590001
10_12_6,10_13_1,0.019429024583679
10_12_6,10_13_2,0.00317208564632
10_12_6,10_13,0.00118953211737
10_12_3,10_12_6,0.000396510705789
10_13,10_12_6,0.001982553528948
10_13,10_13_1,0.000396510705789
10_13,10_13_2,0.000793021411578
10_13_1,10_13_3,0.000793021411578
10_13_1,10_12_6,0.0031720856463089996
10_13_1,10_11_6,0.00158604282316
10_13_1,10_13_2,0.00753370340999
10_13_1,10_13,0.00277557494052
10_13_2,10_11_6,0.000396510705789
10_13_2,10_13_3,0.0031720856463089996
