Date	Chrome(3544246)	Mobile_Safari(3366834)	Firefox(3116963)	Chrome_Mobile(1609034)	Samsung_Internet(982590)	Safari(844819)	IE(740226)	Edge(645279)	Firefox_Mobile(218673)	Opera(179716)	Chrome_Mobile_WebView(55558)	Android(39740)	Amazon_Silk(22529)	Opera_Mobile(20330)	Edge_Mobile(17179)	IE_Mobile(13570)	Yandex_Browser(11331)	Vivaldi(9442)	Chromium(7789)	Mobile_Safari_UI/WKWebView(7375)	Chrome_Mobile_iOS(6767)	Pale_Moon(6589)	Coc_Coc(4954)	Iron(4236)	SeaMonkey(3895)	Maxthon(3693)	UC_Browser(2701)	BlackBerry_WebKit(2395)	agent_error(1791)	Firefox_iOS(1461)	Dragon(1203)	Puffin(985)	Facebook(808)	Sogou_Explorer(778)	HeadlessChrome(764)	Other(730)	Thunderbird(396)	Opera_Mini(386)	PhantomJS(341)	Apple_Mail(330)	QQ_Browser(282)	Mail.ru_Chromium_Browser(206)	Crosswalk(183)	MobileIron(178)	Seznam_prohle(172)	Opera_Neon(159)	Googlebot(154)	K-Meleon(147)	QQ_Browser_Mobile(113)	Iceweasel(102)	Epiphany(93)	QupZilla(92)	Konqueror(90)	Midori(63)	YandexAntivirus(49)	Avant(37)	AppEngine-Google(35)	Netscape(34)	Sleipnir(18)	Lunascape(17)	YandexSearch(16)	AOL(14)	YandexMobileBot(12)	WebKit_Nightly(11)	Nokia_Browser(10)	Opera_Coast(8)	Pinterest(8)	ThunderBrowse(8)	iCab(8)	Electron(7)	HbbTV(7)	Otter(7)	Mediapartners-Google(6)	webOS_Browser(4)	Lynx(3)	Conkeror(2)	Outlook-iOS(2)	Crazy_Browser(1)	Dolfin(1)	NSPlayer(1)	YandexBot(1)	Zune(1)	
2017-12-1	0.910	0.843	0.864	0.764	0.789	0.780	0.608	0.895	0.524	0.894	0.754	0.629	0.879	0.762	0.684	0.472	0.912	0.907	0.825	0.875	0.900	1.000	0.810	1.000	0.762	0.909	0.778	0.444	0.000	0.000	0.000	0.000	0.000	1.000	0.000	1.000	0.500	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.667	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
2017-12-2	0.920	0.895	0.888	0.794	0.830	0.777	0.679	0.933	0.527	0.885	0.802	0.627	0.961	0.851	0.730	0.681	0.937	0.969	0.964	0.933	0.615	1.000	0.907	0.350	0.800	0.700	0.667	0.500	0.000	1.000	0.000	0.000	0.000	0.000	0.000	1.000	1.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
2017-12-3	0.891	0.853	0.873	0.773	0.803	0.734	0.676	0.881	0.553	0.836	0.801	0.653	0.873	0.840	0.600	0.472	0.942	0.838	0.820	0.816	0.714	0.000	0.959	0.407	0.857	0.950	0.194	0.308	0.000	1.000	0.000	0.000	0.889	0.857	0.000	0.857	0.000	0.000	0.000	0.714	0.000	0.000	0.000	1.000	0.500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
2017-12-4	0.920	0.852	0.872	0.779	0.800	0.797	0.558	0.901	0.549	0.865	0.823	0.605	0.871	0.885	0.670	0.635	0.927	0.938	0.898	0.758	0.838	1.000	0.875	0.951	0.571	0.927	0.867	0.300	0.000	0.714	0.000	0.833	0.500	0.000	0.000	1.000	0.800	0.000	0.000	0.000	0.000	0.000	0.500	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
2017-12-5	0.904	0.833	0.858	0.751	0.789	0.747	0.550	0.890	0.535	0.862	0.776	0.691	0.721	0.793	0.736	0.520	0.946	0.914	0.797	0.794	0.875	1.000	0.941	0.913	0.923	0.871	0.867	0.500	0.000	0.632	0.000	1.000	1.000	1.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.750	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
2017-12-6	0.813	0.738	0.783	0.672	0.698	0.700	0.479	0.798	0.531	0.765	0.659	0.566	0.683	0.722	0.594	0.500	0.667	0.878	0.929	0.577	0.742	0.800	0.972	0.615	0.524	0.667	0.875	0.414	0.000	0.571	0.571	0.875	0.000	0.000	0.000	0.750	0.333	0.000	0.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.667	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
2017-12-7	0.654	0.611	0.732	0.603	0.612	0.629	0.480	0.698	0.522	0.608	0.578	0.500	0.614	0.520	0.563	0.415	0.750	0.733	0.667	0.487	0.364	1.000	0.500	0.750	0.774	0.583	0.273	0.438	0.000	0.400	0.667	0.000	0.000	0.000	0.000	1.000	0.333	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
2017-12-8	0.839	0.771	0.818	0.723	0.741	0.716	0.602	0.840	0.517	0.851	0.663	0.599	0.892	0.840	0.680	0.516	0.932	0.891	0.615	0.784	0.812	0.714	0.783	0.769	0.667	0.654	0.520	0.381	0.000	1.000	1.000	1.000	1.000	0.000	0.000	0.250	0.778	0.000	0.000	1.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
2017-12-9	0.844	0.798	0.829	0.728	0.748	0.760	0.634	0.844	0.559	0.805	0.721	0.639	0.766	0.846	0.667	0.474	0.808	0.964	0.872	0.545	0.812	0.667	0.951	0.861	0.464	0.795	0.684	0.333	0.000	0.778	0.846	1.000	0.500	1.000	0.000	0.250	1.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.667	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
2017-12-10	0.805	0.715	0.794	0.680	0.694	0.689	0.605	0.779	0.544	0.773	0.700	0.608	0.758	0.671	0.533	0.415	0.765	0.873	0.909	0.675	0.645	1.000	0.536	0.704	0.833	0.714	0.761	0.375	0.000	0.643	0.750	1.000	1.000	0.000	0.000	1.000	1.000	0.000	0.000	0.000	1.000	0.000	0.500	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
