fp2_colordepth 197
encoding 198
fp2_opendatabase 199
jsFonts 175
accept 166
localstorage 199
plugins 193
gpuimgs 1
fp2_pixelratio 192
inc 198
fp2_addbehavior 199
langsdetected 197
timezone 182
fp2_cpuclass 199
gpu 192
fp2_liedbrowser 199
cpucores 196
WebGL 199
cookie 199
agent 123
ipregion 122
canvastest 182
language 197
fp2_liedresolution 198
fp2_liedlanguages 196
ipcity 46
audio 177
fp2_liedos 198
ipcountry 196
