Date	Windows(604)	Mac_OS_X(164)	Android(126)	iOS(101)	BlackBerry_OS(2)	Ubuntu(2)	Linux(1)	
2017-11-21	0.772	0.488	0.817	0.921	0.500	1.000	1.000	
2017-11-22	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
2017-11-23	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
