safari/604.1 safari/602.1 safari/604.3.5 safari/604.4.7 safari/601.1 safari/603.3.8 safari/604.1.38 safari/537.86.7 safari/604.5.6 safari/537 safari/601.7.7 safari/603.2.4 safari/600.1.4 safari/603.1.30 safari/602.4.8 safari/603.2.5 safari/602.3.12 safari/602.1.50 safari/602.2.14 safari/601.6.17 safari/537.36 safari/537.35+ safari/600.8.9 safari/601.7.8 safari/601.5.17 safari/601.4.4 safari/534.30 safari/601.3.9 safari/601.2.7 safari/604.5.2 safari/600.7.12 safari/600.6.3 safari/604.4.6 safari/601.1.46 safari/601.1.56 safari/604.4.5 safari/600.1.25 safari/534.30; safari/7046a194a safari/605.1.15 safari/537.86.6 safari/604.5.5 safari/600.3.18 safari/604.5.3 safari/600.5.17 safari/604.3.4 safari/600.4.10 safari/537.86.4 safari/600.2.5 safari/537.85.16 safari/537.86.5 safari/602.1.1 safari/8536.25 safari/538.1 safari/537.16 safari/9537.53 safari/600.4.8 safari/604.3.1 safari/7534.48.3 safari safari/537.86.2 safari/6533.18.5 safari/537.21 safari/537.77.4 safari/537.78.2 safari/537.85.17 safari/537.86.3 safari/602.4.2 safari/602.4.6 safari/605.1 safari/525.20.1 safari/531.21.10 safari/533.4 safari/537.86.1 safari/600.1.4) safari/603.1.13 safari/604.5.100 safari/605.1.12 safari/10603.3.8 safari/13604.3.5 safari/535.19 safari/600.4.5 safari/604.1.31 safari/604.4.7.1.3 safari/604.5.1 safari/605.1.13 safari/999.9 
2017-11-10 3948 988 638 0 264 130 102 20 0 18 17 16 23 14 17 11 6 10 7 3 2 2 3 1 1 5 1 0 5 0 4 1 2 2 0 4 0 0 1 0 0 0 1 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2017-11-11 3024 798 563 0 237 117 85 27 0 19 11 21 13 14 11 11 5 9 7 4 2 2 2 2 3 4 1 0 3 0 0 2 6 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2017-11-12 3273 853 646 0 224 102 104 32 0 20 12 19 15 8 10 11 8 8 6 1 5 3 0 4 1 7 1 1 3 0 0 1 6 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2017-11-13 2764 681 596 1 177 122 100 32 0 20 21 19 8 10 14 10 7 6 7 5 5 0 3 5 1 4 1 2 2 0 1 1 4 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 
2017-11-14 2965 697 547 1 185 115 63 18 0 18 20 20 6 11 15 10 15 11 6 1 5 0 4 4 2 3 0 2 0 0 1 1 5 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 
2017-11-15 3551 769 556 8 196 94 59 25 0 27 16 16 15 13 11 10 10 5 8 2 3 4 2 3 2 4 2 1 2 0 2 0 6 0 1 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2017-11-16 3324 804 643 6 187 110 60 26 0 21 21 17 12 11 8 9 9 2 4 4 3 5 4 4 6 5 1 3 2 0 1 1 3 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2017-11-17 3575 821 602 2 238 93 57 24 0 18 22 27 10 10 15 6 10 7 3 4 2 2 5 5 3 3 3 1 1 0 0 0 2 1 2 2 1 0 1 0 1 0 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2017-11-18 2382 513 428 5 140 55 25 20 0 12 12 7 8 4 3 5 1 4 1 2 1 2 2 2 1 3 1 3 1 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2017-11-19 2435 623 527 7 155 97 52 15 0 13 8 16 11 10 8 11 4 8 9 6 3 3 2 2 2 1 1 4 2 0 2 0 1 1 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2017-11-20 1605 386 490 5 111 84 57 15 0 11 30 13 12 5 5 17 7 8 4 2 1 2 2 3 4 1 1 0 1 0 0 2 1 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 
2017-11-21 1824 343 468 4 99 84 33 16 0 10 14 14 2 12 12 10 11 8 4 3 1 1 3 1 8 3 1 0 1 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2017-11-22 2768 554 595 4 238 108 49 30 0 17 10 18 10 10 12 12 6 6 6 1 2 2 1 4 2 0 1 3 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
