safari/604.1 safari/602.1 safari/604.3.5 safari/604.4.7 safari/601.1 safari/603.3.8 safari/604.1.38 safari/537.86.7 safari/604.5.6 safari/537 safari/601.7.7 safari/603.2.4 safari/600.1.4 safari/603.1.30 safari/602.4.8 safari/603.2.5 safari/602.3.12 safari/602.1.50 safari/602.2.14 safari/601.6.17 safari/537.36 safari/537.35+ safari/600.8.9 safari/601.7.8 safari/601.5.17 safari/601.4.4 safari/534.30 safari/601.3.9 safari/601.2.7 safari/604.5.2 safari/600.7.12 safari/600.6.3 safari/604.4.6 safari/601.1.46 safari/601.1.56 safari/604.4.5 safari/600.1.25 safari/534.30; safari/7046a194a safari/605.1.15 safari/537.86.6 safari/604.5.5 safari/600.3.18 safari/604.5.3 safari/600.5.17 safari/604.3.4 safari/600.4.10 safari/537.86.4 safari/600.2.5 safari/537.85.16 safari/537.86.5 safari/602.1.1 safari/8536.25 safari/538.1 safari/537.16 safari/9537.53 safari/600.4.8 safari/604.3.1 safari/7534.48.3 safari safari/537.86.2 safari/6533.18.5 safari/537.21 safari/537.77.4 safari/537.78.2 safari/537.85.17 safari/537.86.3 safari/602.4.2 safari/602.4.6 safari/605.1 safari/525.20.1 safari/531.21.10 safari/533.4 safari/537.86.1 safari/600.1.4) safari/603.1.13 safari/604.5.100 safari/605.1.12 safari/10603.3.8 safari/13604.3.5 safari/535.19 safari/600.4.5 safari/604.1.31 safari/604.4.7.1.3 safari/604.5.1 safari/605.1.13 safari/999.9 
2017-12-13 2808 362 241 258 138 60 28 23 0 10 13 11 7 11 3 5 7 6 5 3 2 1 3 0 1 1 4 0 0 2 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2017-12-14 1578 179 86 115 71 23 14 10 0 9 8 5 5 2 3 1 2 1 1 3 2 2 1 1 1 1 1 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2017-12-15 827 143 51 80 65 19 4 2 0 7 2 2 2 2 3 2 3 2 1 1 1 1 1 0 0 0 3 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2017-12-16 3585 473 131 276 186 57 15 23 0 20 6 3 13 6 2 1 1 4 7 3 3 6 0 4 1 0 2 0 0 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2017-12-17 1813 243 59 159 93 29 6 10 0 11 3 8 3 4 0 0 3 3 5 0 2 4 0 1 0 0 0 0 1 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2017-12-18 2424 311 122 288 121 53 14 10 0 9 10 10 4 5 7 3 5 4 6 1 3 1 2 2 2 3 2 1 0 3 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2017-12-19 3096 447 116 404 174 70 15 35 0 19 14 17 8 7 4 10 6 8 6 2 4 3 6 3 2 3 2 0 0 4 0 1 0 0 2 1 1 2 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2017-12-20 4115 541 186 608 225 91 29 36 0 21 14 13 12 9 7 9 11 1 11 3 3 6 1 2 5 3 1 1 0 8 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2017-12-21 3815 509 122 483 228 90 26 26 0 17 14 11 12 10 15 2 4 6 6 2 1 4 5 3 6 1 2 1 1 7 0 0 0 1 1 0 1 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2017-12-22 4981 745 141 641 332 128 21 42 0 29 9 9 16 12 11 12 7 9 5 1 5 4 1 2 2 3 2 1 0 7 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2017-12-23 2353 356 94 336 185 64 13 16 0 14 6 2 11 4 5 1 6 2 1 1 7 0 1 1 1 0 0 1 0 4 2 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2017-12-24 1087 193 38 172 86 31 11 10 0 4 9 2 3 1 1 0 1 1 1 0 0 0 0 1 4 2 1 0 0 3 1 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2017-12-25 1547 228 37 174 117 24 4 10 0 8 4 3 5 1 3 0 3 1 1 0 1 1 2 1 0 0 3 1 0 1 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 
2017-12-26 4517 583 88 414 209 63 13 30 0 25 6 11 16 3 7 4 3 2 3 2 3 5 1 4 4 2 0 0 0 3 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2017-12-27 2891 373 61 311 178 40 10 12 0 15 6 5 8 6 8 1 3 3 4 3 2 2 2 0 1 0 2 2 0 1 0 1 0 0 1 0 0 3 1 2 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2017-12-28 4389 622 131 713 315 97 17 36 0 17 14 10 12 10 10 10 14 4 6 4 6 4 1 1 7 2 1 2 1 7 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2017-12-29 3632 453 76 456 199 69 17 30 0 11 13 5 9 5 9 7 9 1 3 0 5 2 1 2 2 1 6 0 0 6 0 1 0 0 0 0 0 0 3 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2017-12-30 1919 249 64 280 123 42 11 13 0 14 3 3 5 4 8 0 1 5 1 2 1 1 0 2 0 2 3 0 2 3 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2017-12-31 2070 246 46 232 79 32 8 14 0 10 5 2 3 4 5 2 1 0 3 1 2 2 0 1 1 0 4 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2018-1-1 30 7 0 6 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2018-1-2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2018-1-3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2018-1-4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2018-1-5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2018-1-6 1416 170 26 265 73 38 12 9 0 11 4 2 3 3 2 0 1 3 3 1 0 0 3 2 1 0 1 1 1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2018-1-7 1762 218 39 339 95 46 8 23 0 2 8 6 5 3 1 2 7 4 1 3 6 1 3 0 1 2 2 0 0 0 0 0 0 1 0 0 1 0 2 1 0 0 2 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2018-1-8 1025 121 59 348 70 50 7 13 0 7 11 7 2 6 6 6 6 4 1 1 0 0 4 3 3 4 2 1 2 2 0 0 0 0 1 0 0 0 0 0 1 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 
2018-1-9 3140 375 74 595 193 80 14 33 0 21 13 7 11 7 4 10 6 9 6 3 3 3 4 3 2 3 2 0 1 1 0 0 0 1 1 0 2 1 0 0 0 0 1 7 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2018-1-10 2564 312 55 445 137 74 14 30 0 13 10 7 6 4 3 3 7 7 4 2 2 1 4 3 2 2 2 1 2 1 0 0 1 0 0 0 1 1 1 0 0 0 0 3 1 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2018-1-11 3813 462 69 543 219 91 14 26 0 14 15 12 10 3 8 3 2 8 5 7 1 4 2 2 2 2 2 1 0 0 0 0 0 0 1 0 0 0 0 0 1 4 0 3 1 0 0 1 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2018-1-12 3485 409 47 541 204 77 12 23 0 18 10 12 8 2 5 2 2 5 4 3 2 2 3 3 4 2 2 0 0 0 0 0 0 0 0 0 0 1 2 0 0 2 1 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2018-1-13 4298 449 41 502 227 55 9 32 0 22 8 2 12 5 4 7 5 5 3 1 5 3 3 0 3 0 1 2 0 1 0 0 0 0 0 0 0 1 1 0 1 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2018-1-14 2800 303 37 366 143 44 9 14 0 14 5 3 6 1 4 4 5 1 3 2 7 2 2 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2018-1-15 1780 195 37 300 87 33 7 13 0 9 5 5 2 5 1 0 3 2 2 3 2 5 3 2 2 1 4 3 2 0 0 1 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2018-1-16 3514 375 56 558 183 81 17 26 1 13 11 10 14 8 5 2 6 1 6 5 4 3 2 2 5 0 1 0 1 0 0 0 0 0 1 0 0 2 0 1 0 4 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2018-1-17 3090 330 45 506 198 55 9 24 2 8 19 16 3 6 3 4 5 5 6 5 2 2 2 2 4 0 1 1 1 1 1 2 0 0 1 0 0 0 1 0 2 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2018-1-18 2991 357 46 455 156 70 5 21 6 16 7 17 2 9 4 2 4 2 4 5 2 2 2 4 3 0 1 0 5 1 1 0 0 0 0 0 0 0 0 1 0 3 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2018-1-19 3641 414 56 564 204 90 12 30 2 11 5 12 9 5 2 5 4 7 3 9 4 3 4 1 1 2 2 3 1 1 0 1 0 0 0 0 1 0 0 0 1 0 0 1 1 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2018-1-20 4363 439 40 535 244 72 13 23 6 17 14 8 12 5 5 4 3 4 3 1 2 3 0 2 1 2 1 1 0 0 3 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 
2018-1-21 4296 416 38 555 223 62 9 21 3 16 9 6 17 6 4 5 5 2 3 2 1 5 1 1 2 1 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 2 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2018-1-22 2206 234 38 378 100 46 7 17 7 5 13 3 4 5 6 2 2 8 4 1 1 2 4 3 0 1 0 2 1 1 0 1 0 0 0 0 0 1 1 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 
2018-1-23 2910 258 37 404 128 55 13 12 9 22 11 4 6 3 6 4 1 5 2 4 3 1 2 3 2 0 1 2 1 1 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2018-1-24 1171 95 33 217 46 29 5 8 24 8 12 4 3 2 1 6 1 0 1 3 1 1 1 3 2 1 0 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2018-1-25 1678 183 29 268 120 40 7 21 90 12 10 3 3 5 2 5 0 2 1 3 2 1 2 1 2 3 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2018-1-26 3425 338 53 316 199 61 13 28 165 18 15 6 8 7 6 0 1 1 2 2 3 3 1 0 1 2 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2018-1-27 2357 258 26 217 125 51 4 14 133 8 11 6 6 2 7 2 5 2 1 1 3 2 4 4 0 3 1 0 1 0 0 0 0 0 0 0 2 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2018-1-28 2033 205 30 224 117 44 6 15 158 12 13 10 3 2 6 2 0 0 3 2 1 0 0 1 1 3 1 1 2 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2018-1-29 1383 144 39 212 90 66 10 16 172 13 18 9 2 5 3 0 2 2 3 0 2 0 1 0 6 2 0 1 0 0 2 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2018-1-30 3188 329 48 278 192 66 13 19 232 13 11 9 9 10 6 1 8 2 6 4 3 3 3 3 2 2 1 0 1 1 1 1 0 0 2 0 1 0 0 5 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 
2018-1-31 2839 336 42 216 201 84 6 21 229 20 12 6 6 5 12 5 2 2 1 7 1 3 2 2 2 2 0 2 1 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2018-2-1 2480 267 34 181 139 49 14 15 229 11 6 11 10 4 5 3 3 5 1 3 2 3 2 6 3 2 0 1 1 0 0 1 0 1 0 0 0 0 0 7 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2018-2-2 2071 227 21 132 138 59 12 24 190 15 6 5 12 3 2 1 5 4 3 2 2 1 1 2 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2018-2-3 2448 255 14 68 144 34 2 14 193 16 8 6 4 2 3 4 1 0 2 2 1 1 0 0 1 1 1 2 0 1 0 0 0 0 0 0 0 0 0 3 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 
2018-2-4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2018-2-5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
