(set(['Bayern']),_set(['Nordrhein-Westfalen'])) (set(['Niedersachsen']),_set(['Nordrhein-Westfalen'])) (set(['Nordrhein-Westfalen']),_set(['Niedersachsen'])) (set(['Hessen']),_set(['Nordrhein-Westfalen'])) (set(['Nordrhein-Westfalen']),_set(['Bayern'])) (set(['Nordrhein-Westfalen']),_set(['Hessen'])) (set(['Bayern']),_set(['Baden-Wurttemberg'])) (set(['Baden-Wurttemberg']),_set(['Bayern'])) (set(['Baden-Wurttemberg']),_set(['Nordrhein-Westfalen'])) (set(['Nordrhein-Westfalen']),_set(['Baden-Wurttemberg'])) 
2017-11-21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2017-11-22 1 12 2 10 4 6 0 6 3 3 0 3 1 2 0 2 2 0 0 0 
2017-11-23 0 29 2 27 7 20 7 13 2 11 1 10 4 6 5 1 0 1 1 0 
2017-11-24 10 72 14 58 8 50 10 40 8 32 7 25 6 19 9 10 4 6 2 4 
2017-11-25 8 62 7 55 6 49 8 41 6 35 5 30 9 21 8 13 3 10 6 4 
2017-11-26 13 93 17 76 10 66 11 55 5 50 4 46 14 32 17 15 5 10 4 6 
2017-11-27 4 110 22 88 10 78 8 70 10 60 7 53 14 39 21 18 9 9 5 4 
2017-11-28 11 84 16 68 9 59 11 48 3 45 8 37 8 29 11 18 4 14 4 10 
2017-11-29 6 73 6 67 6 61 5 56 9 47 11 36 8 28 9 19 4 15 8 7 
2017-11-30 11 96 15 81 10 71 11 60 10 50 13 37 10 27 9 18 4 14 9 5 
2017-12-1 13 98 16 82 10 72 7 65 4 61 9 52 15 37 17 20 7 13 5 8 
2017-12-2 9 95 11 84 11 73 11 62 7 55 9 46 12 34 16 18 2 16 5 11 
2017-12-3 12 153 15 138 26 112 19 93 11 82 12 70 15 55 23 32 15 17 7 10 
2017-12-4 8 124 27 97 14 83 15 68 4 64 12 52 13 39 12 27 9 18 8 10 
2017-12-5 14 184 24 160 28 132 18 114 18 96 17 79 22 57 22 35 14 21 7 14 
2017-12-6 19 149 23 126 9 117 18 99 13 86 12 74 24 50 22 28 9 19 12 7 
2017-12-7 11 103 11 92 18 74 12 62 11 51 9 42 11 31 10 21 10 11 5 6 
2017-12-8 24 192 33 159 22 137 20 117 17 100 21 79 20 59 25 34 4 30 16 14 
2017-12-9 21 208 27 181 21 160 23 137 17 120 23 97 25 72 23 49 16 33 17 16 
2017-12-10 17 156 15 141 22 119 14 105 11 94 14 80 16 64 32 32 12 20 8 12 
2017-12-11 21 195 22 173 25 148 21 127 20 107 20 87 25 62 24 38 12 26 12 14 
2017-12-12 11 115 17 98 20 78 12 66 9 57 7 50 14 36 17 19 8 11 6 5 
2017-12-13 8 139 22 117 16 101 17 84 10 74 16 58 18 40 14 26 8 18 8 10 
2017-12-14 8 86 11 75 7 68 8 60 4 56 8 48 13 35 15 20 6 14 7 7 
2017-12-15 2 45 10 35 3 32 4 28 1 27 3 24 5 19 8 11 4 7 5 2 
2017-12-16 21 218 22 196 39 157 22 135 15 120 20 100 32 68 26 42 16 26 11 15 
2017-12-17 12 89 17 72 10 62 8 54 11 43 5 38 13 25 14 11 4 7 3 4 
2017-12-18 19 163 18 145 20 125 13 112 16 96 18 78 21 57 22 35 14 21 8 13 
2017-12-19 18 199 26 173 28 145 14 131 20 111 19 92 22 70 34 36 12 24 13 11 
2017-12-20 13 226 30 196 31 165 25 140 26 114 14 100 35 65 18 47 13 34 16 18 
2017-12-21 17 178 29 149 15 134 19 115 10 105 24 81 17 64 26 38 15 23 10 13 
2017-12-22 30 208 24 184 25 159 21 138 16 122 23 99 23 76 30 46 14 32 17 15 
2017-12-23 7 97 8 89 13 76 9 67 7 60 11 49 14 35 12 23 8 15 8 7 
2017-12-24 8 57 4 53 8 45 2 43 5 38 6 32 10 22 8 14 5 9 3 6 
2017-12-25 10 70 14 56 11 45 10 35 5 30 8 22 8 14 5 9 2 7 1 6 
2017-12-26 14 231 32 199 27 172 24 148 27 121 23 98 30 68 29 39 12 27 16 11 
2017-12-27 17 134 21 113 16 97 10 87 11 76 11 65 20 45 15 30 5 25 7 18 
2017-12-28 20 181 19 162 21 141 16 125 20 105 17 88 26 62 21 41 9 32 12 20 
2017-12-29 17 211 31 180 22 158 18 140 18 122 22 100 20 80 34 46 12 34 16 18 
2017-12-30 14 127 17 110 18 92 7 85 15 70 9 61 15 46 15 31 4 27 14 13 
2017-12-31 12 107 17 90 19 71 10 61 14 47 5 42 12 30 16 14 6 8 4 4 
