('gzip, deflate, lzma, br', 'gzip, deflate, br') ('gzip, deflate', 'gzip, deflate, br') ('gzip', 'gzip, deflate') ('gzip', 'gzip, deflate, br') ('gzip', 'br, gzip, deflate') ('gzip,deflate', 'gzip, deflate, br') ('gzip, deflate, br', 'gzip') ('br, gzip, deflate', 'gzip, deflate') ('gzip, deflate, br', 'gzip,deflate') ('gzip,deflate', 'gzip, deflate') ('gzip, deflate', 'br, gzip, deflate') ('gzip, deflate, lzma', 'gzip, deflate, br') ('gzip, deflate', 'gzip,deflate') ('gzip, deflate, lzma', 'gzip, deflate') ('br, gzip, deflate', 'gzip') ('gzip, deflate, br', 'gzip, deflate') 
2018-01-06 00:00:00 0 31 0 0 0 2 0 0 0 0 123 0 0 0 0 6 
2017-12-24 00:00:00 0 3 0 0 0 0 0 0 0 0 69 0 0 0 0 1 
2017-11-27 00:00:00 0 5 0 4 0 0 0 0 0 0 126 0 0 0 0 46 
2018-01-25 00:00:00 4 13 0 0 1 0 0 0 0 0 36 0 0 0 0 2 
2017-12-02 00:00:00 0 15 0 0 0 0 0 0 0 0 12 0 0 0 0 0 
2017-11-30 00:00:00 0 9 0 0 0 0 0 0 0 0 23 0 0 0 0 0 
2017-12-05 00:00:00 0 404 0 0 0 1 0 0 2 0 46 0 0 0 0 3 
2017-12-15 00:00:00 0 5 0 0 0 0 0 0 0 0 5 0 0 0 0 0 
2018-01-30 00:00:00 0 72 0 0 0 0 0 0 1 0 115 0 0 0 0 38 
2018-01-20 00:00:00 0 18 0 0 0 15 0 0 2 0 39 0 2 0 0 10 
2018-01-13 00:00:00 0 62 0 0 0 2 0 1 2 0 82 0 0 0 0 16 
2017-12-30 00:00:00 0 24 0 0 0 0 0 3 0 0 31 0 0 0 0 10 
2017-12-27 00:00:00 0 60 0 0 0 3 0 0 0 0 34 0 0 0 0 36 
2018-01-17 00:00:00 0 19 0 0 0 4 0 1 0 0 97 0 0 0 0 6 
2017-12-16 00:00:00 0 84 0 0 0 2 0 0 0 0 12 0 0 0 0 3 
2017-12-07 00:00:00 0 83 0 0 0 0 0 0 0 0 11 0 0 0 0 6 
