Browser 2_Crosswalk 3_Chrome 4_SeaMonkey 5_Maxthon 6_AppEngine-Google 7_Firefox_Mobile 8_Other 9_Apple_Mail 10_QQ_Browser 11_Android 12_QQ_Browser_Mobile 13_BlackBerry_WebKit 14_Mobile_Safari_UI/WKWebView 15_Mobile_Safari 16_Mail.ru_Chromium_Browser 17_Samsung_Internet 18_Opera 19_Facebook 20_Safari 21_IE_Mobile 22_Pale_Moon 23_Netscape 24_Chrome_Mobile_iOS 25_Konqueror 26_UC_Browser 27_Amazon_Silk 28_HeadlessChrome 29_Thunderbird 30_Chrome_Mobile 31_Dragon 32_Edge_Mobile 33_Opera_Mobile 34_Puffin 35_Edge 36_Iron 37_IE 38_MobileIron 39_Vivaldi 40_Firefox 41_Yandex_Browser 42_Coc_Coc 43_Chromium 44_Seznam_prohle 45_Opera_Neon 46_Firefox_iOS 47_ThunderBrowse 48_Chrome_Mobile_WebView 49_Sogou_Explorer 50_QupZilla 
2017-11-21 0 0.884955752212 0 0 0 0 0 0 0 0 0 0 0 2.38095238095 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.0303030303 0 0 0 0 0 0 0 0 0 0 
2017-11-22 0 3.37296101742 0 18.1818181818 0 0 0 0 0 0 0 100.0 16.6666666667 4.27927927928 0 0.720906282183 7.27272727273 20.0 2.00927357032 0 0 0 33.3333333333 0 50.0 0 0 0 3.85674931129 0 0 0 0 1.47058823529 0 1.09204368175 0 16.6666666667 2.08130081301 0 16.6666666667 11.1111111111 0 0 0 0 0 0 0 
2017-11-23 0 4.15488976823 0 0 0 0 0 0 0 0 0 0 12.5 5.62148657089 0 1.60377358491 10.9677419355 0 3.41614906832 0 0 0 40.0 0 0 19.0476190476 0 0 4.35365036839 0 4.54545454545 0 0 1.39064475348 0 0.928381962865 0 10.0 3.0124426981 14.2857142857 0 7.69230769231 0 0 0 0 9.3023255814 50.0 0 
2017-11-24 0 4.21478060046 0 14.2857142857 0 1.60427807487 50.0 0 0 1.85185185185 0 25.0 0 8.39694656489 0 1.19465917077 22.8758169935 50.0 3.64583333333 0 0 0 50.0 0 0 7.14285714286 0 0 6.77618069815 0 5.26315789474 0 0 1.81611804767 0 2.27531285552 0 50.0 3.84723392306 16.6666666667 0 0 0 0 0 0 5.55555555556 0 0 
2017-11-25 0 4.23620025674 0 40.0 0 0.490196078431 0 0 0 4.08163265306 0 0 20.0 9.29054054054 0 1.40227870289 16.8224299065 50.0 3.96551724138 0 0 0 0 0 66.6666666667 8.0 0 0 7.82019704433 0 5.88235294118 0 0 1.8045112782 0 1.30151843818 0 10.0 3.37122696982 0 14.2857142857 28.5714285714 0 0 0 0 4.87804878049 0 0 
2017-11-26 0 3.818794459 0 28.5714285714 0 0.819672131148 0 0 0 4.91803278689 0 0 50.0 9.77393617021 0 1.53452685422 10.8108108108 50.0 4.16666666667 0 0 0 0 0 0 0 0 0 8.78774222623 0 17.6470588235 0 0 2.59965337955 0 3.17002881844 0 0 3.41908173233 12.5 0 0 0 0 0 0 8.16326530612 0 0 
2017-11-27 0 6.00858369099 0 0 0 1.18343195266 0 0 0 6.66666666667 0 50.0 0 11.483113069 0 1.43097643098 11.7647058824 0 6.91906005222 0 0 0 50.0 0 100.0 0 0 0 9.46275946276 0 0 0 0 3.56687898089 33.3333333333 2.18390804598 0 0 4.58515283843 0 0 8.33333333333 0 0 0 0 7.57575757576 0 0 
2017-11-28 0 7.87776843286 0 16.6666666667 0 16.8674698795 0 0 100.0 17.2413793103 0 100.0 0 24.4094488189 0 20.7413945278 23.602484472 0 8.63509749304 14.2857142857 0 0 44.4444444444 0 100.0 20.0 0 0 25.0789639924 0 11.1111111111 20.0 0 16.5467625899 0 11.7035110533 0 71.4285714286 7.73162939297 7.14285714286 0 20.0 0 0 0 0 20.9302325581 0 0 
2017-11-29 0 13.9788199697 100.0 100.0 0 47.619047619 0 0 0 43.75 0 0 50.0 45.6836210919 0 42.7604871448 48.1751824818 0 13.0872483221 20.0 0 100.0 33.3333333333 0 0 42.8571428571 0 0 46.7841409692 0 55.5555555556 43.75 0 40.1396160558 100.0 44.2141623489 0 75.0 14.1539553033 57.1428571429 38.4615384615 60.0 100.0 0 0 0 42.4242424242 0 0 
2017-11-30 0 11.4310645724 0 25.0 0 26.5536723164 0 0 0 31.4814814815 0 50.0 33.3333333333 28.5173317798 0 25.0201775626 27.4509803922 0 10.5263157895 20.0 0 0 40.0 0 0 42.8571428571 0 0 26.6365688488 0 17.3913043478 20.6896551724 0 28.2282282282 25.0 30.3225806452 0 33.3333333333 10.1777059774 14.2857142857 0 50.0 0 0 100.0 0 15.1515151515 0 0 
