Browser 2_Crosswalk 3_Chrome 4_SeaMonkey 5_Maxthon 6_AppEngine-Google 7_Firefox_Mobile 8_Other 9_Apple_Mail 10_QQ_Browser 11_Android 12_QQ_Browser_Mobile 13_BlackBerry_WebKit 14_Mobile_Safari_UI/WKWebView 15_Mobile_Safari 16_Mail.ru_Chromium_Browser 17_Samsung_Internet 18_Chrome_Mobile_WebView 19_Electron 20_Facebook 21_Sogou_Explorer 22_Safari 23_IE_Mobile 24_Pale_Moon 25_Netscape 26_Chrome_Mobile_iOS 27_Konqueror 28_Amazon_Silk 29_UC_Browser 30_Opera 31_HeadlessChrome 32_Thunderbird 33_Chrome_Mobile 34_Dragon 35_Edge_Mobile 36_Opera_Mobile 37_Puffin 38_Edge 39_Iron 40_IE 41_MobileIron 42_Vivaldi 43_Firefox 44_Yandex_Browser 45_Coc_Coc 46_Seznam_prohle 47_Opera_Neon 48_Firefox_iOS 49_ThunderBrowse 50_Chromium 51_QupZilla 
2017-12-23 0 4.09532462087 7.14285714286 4.0 0 4.3771043771 0 0 0 4.0 0 0 12.5 4.95476541132 0 4.07365162131 5.14285714286 0 0 0 6.32911392405 3.0303030303 0 0 8.0 0 0.961538461538 14.2857142857 5.10783200908 0 0 5.09656146962 0 2.29885057471 0.657894736842 0 4.27883253046 0 3.1779031779 0 8.82352941176 3.98511885995 4.44444444444 5.55555555556 0 0 0 0 0 0 
2017-12-24 0 2.66178266178 0 4.54545454545 0 2.69709543568 0 0 0 4.97237569061 0 0 7.14285714286 3.07289185326 0 2.63963274675 1.02040816327 0 0 0 3.78977475867 5.55555555556 0 0 4.7619047619 0 4.0 28.5714285714 3.04955527319 0 0 3.5500995355 0 5.55555555556 1.7094017094 0 1.97013028281 0 1.30198915009 0 0 2.49817384953 0 0 0 0 0 0 3.0303030303 0 
2017-12-25 0 4.36594562413 0 9.09090909091 0 5.41237113402 14.2857142857 0 0 5.23255813953 0 0 4.54545454545 4.86870120653 0 5.62642369021 3.09734513274 0 0 0 4.85393258427 6.81818181818 0 0 15.0 0 4.44444444444 14.2857142857 5.53797468354 0 0 6.19072708114 0 1.69491525424 6.73076923077 0 3.1990521327 0 4.13385826772 0 0 3.54781054513 2.63157894737 5.55555555556 0 0 12.5 0 0 0 
2017-12-26 0 8.18074740336 0 9.09090909091 0 15.4222766218 0 0 0 9.44444444444 0 7.69230769231 27.2727272727 13.736113016 0 11.9253830779 12.9707112971 0 0 0 11.9980648283 13.9534883721 0 0 12.5 25.0 12.6315789474 22.2222222222 11.2745098039 0 0 13.7476955491 0 10.6060606061 9.90099009901 14.2857142857 8.18403908795 0 6.76868746321 0 13.8888888889 8.0665696617 8.33333333333 9.09090909091 0 0 12.5 0 26.0869565217 0 
2017-12-27 0 7.93831374036 0 0 0 9.92366412214 0 0 0 13.2530120482 0 0 0 8.85611797529 0 8.16527299557 9.91379310345 0 12.5 0 10.2594339623 11.4285714286 0 0 8.33333333333 0 6.89655172414 12.5 7.8431372549 0 16.6666666667 9.86948232879 20.0 14.0 10.5263157895 0 5.93607305936 0 7.31889469754 0 0 6.67160076126 10.3448275862 0 0 0 12.5 0 4.54545454545 0 
2017-12-28 0 11.5392872477 5.88235294118 0 0 8.16568047337 11.1111111111 0 0 8.64864864865 0 16.6666666667 15.1515151515 13.1351869607 0 9.43933420937 9.09090909091 0 0 0 19.5620437956 13.1578947368 0 0 17.8571428571 0 7.07070707071 11.1111111111 14.9253731343 0 20.0 11.9016133298 0 16.0714285714 7.27272727273 0 11.2742980562 13.3333333333 11.8223760092 0 5.71428571429 10.3270795285 16.6666666667 8.33333333333 0 0 12.5 0 8.0 0 
2017-12-29 0 8.14232902033 5.26315789474 6.25 0 8.40248962656 0 0 0 10.0 0 9.09090909091 10.5263157895 9.97022940867 0 9.51184493898 10.5590062112 0 0 0 11.6484440706 9.3023255814 0 0 6.25 0 4.62962962963 12.5 9.95792426367 0 33.3333333333 11.5631218218 0 8.57142857143 8.33333333333 0 7.01943844492 13.3333333333 6.80207841285 0 26.6666666667 6.66438356164 11.7647058824 7.69230769231 0 0 0 0 16.6666666667 0 
2017-12-30 0 4.72199693611 0 0 0 4.8951048951 0 0 0 3.53982300885 0 0 4.87804878049 4.63991710322 0 5.411558669 4.60122699387 0 0 0 7.68618080446 8.69565217391 16.6666666667 0 6.89655172414 0 2.9702970297 0 5.34759358289 0 0 5.64586042479 0 4.16666666667 4.79452054795 0 3.73212417161 10.5263157895 2.89855072464 0 2.43902439024 3.55274207093 3.33333333333 4.16666666667 0 0 12.5 0 3.22580645161 0 
2017-12-31 0 4.144251843 0 13.3333333333 0 6.14136732329 0 0 0 4.08163265306 0 9.09090909091 5.12820512821 5.70626753976 0 5.66897918731 7.06713780919 0 0 0 6.46420824295 4.87804878049 0 0 20.0 0 2.35294117647 0 4.55212922173 0 0 6.88317983519 0 6.77966101695 5.38461538462 0 3.58657925183 5.26315789474 3.25865580448 0 8.10810810811 2.73354746122 7.14285714286 0 0 0 0 0 4.16666666667 0 
2018-1-1 0 0.2405002405 0 0 0 0 0 0 0 0.649350649351 0 0 0 0.0991325898389 0 0.121743364987 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.178544859396 0 0 0 0 0.0897666068223 0 0.122249388753 0 0 0.11197312645 0 0 0 0 0 0 0 0 
